ID,date,username,verdict
916843672,2010-10-12,Будянский Валентин Евгеньевич,Возрождение таланта
681637986,2019-05-07,Фергасова Дарья Богдановна,Приобретение магической силы
773887884,2016-11-16,Босолаев Николай Андреевич,Обретение мира
197591393,2022-08-16,Отюзский Евгений Валериевич,Победа в соревновании
949900192,2006-06-22,Енакаев Вячеслав Андреевич,Новые возможности
943568877,2003-05-13,Журонов Юрий Михаилович,Победа над тьмой внутри
85824255,2013-10-17,Евлошин Пётр Иванович,error
330959529,2006-11-08,Макшанов Денис Андреевич,Открытие новой реальности
335617551,2014-10-13,Матвейцев Михаил Фёдорович,Изменение характера
198044712,2021-09-07,Саакова Людмила Эдуардовна,Разрешение загадки
77716809,2020-11-14,Неволин Степан Валериевич,Победа над судьбой
815033188,2011-06-27,Гглосова Ева Петровна,Признание героем
834275707,2022-11-15,Бурокова Евгения Кирилловна,Удачное путешествие
914389504,2011-07-13,Тутубалина Яна Кирилловна,Возвращение домой
944930421,2011-12-22,Апольцева Валерия Кирилловна,Признание героем
222988629,2007-10-27,Никулкова Инна Эдуардовна,Рождение ребенка
82143491,2020-06-22,Киличкин Юрий Антонович,Победа над тьмой
11453559,2009-09-13,Велиев Герасим Георгиевич,Приключение начинается
762744386,2023-10-13,Душанин Юрий Алексеевич,Победа над страхом
712031176,2013-09-24,Брайцева Тамара Олеговна,Освобождение из плена
80862598,2018-07-10,Тарнакова Кира Олеговна,Победа над страхом
168941293,2023-05-18,Волочейкин Герасим Вадимович,Победа над тьмой внутри
215245900,2012-07-14,Ницлавский Владимир Денисович,Покорение невидимого врага
878103471,2010-09-26,Горюшкин Алексей Антонович,Победа над страхом
224521913,2006-10-10,Луненкова Клавдия Никитична,Открытие новой реальности
115825136,2019-08-14,Захрабов Георгий Игоревич,Открытие новой реальности
411802830,2017-09-24,Синезова Мария Игоревна,Новое начало
14848796,2003-08-21,Колпачева Тамара Сергеевна,Избавление от проклятия
940727096,2003-05-11,Никишанов Владимир Викторович,Изменение прошлого
66614548,2000-06-16,Козулин Ярослав Игоревич,Обретение мудрости
306703877,2009-09-18,Доболина Мария Егоровна,Покорение тайного мира
910941427,2020-09-13,Ликсонова Ева Михайловна,Победа над судьбой
59189745,2018-06-11,Пришкин Василий Викторович,Освобождение из плена
480827942,2001-06-25,Швабовская София Эдуардовна,Обретение вечной молодости
581787235,2001-08-12,Хочанский Василий Алексеевич,Покорение тайного мира
718653917,2022-11-13,Мундштуков Виталий Петрович,Победа над злом
48071054,2023-12-18,Измалков Олег Михаилович,Обретение внутреннего покоя
426060959,2000-06-20,Каохцина Алёна Вадимовна,Предсказание будущего
384650670,2016-10-23,Алеканова Александра Петровна,Новые возможности
881124149,2010-05-22,Дешуков Артур Алексеевич,Обретение баланса сил
676496995,2007-10-10,Нициевский Артур Олегович,Помощь от незнакомца
689403609,2023-08-14,Лорченков Николай Антонович,Обретение душевного спокойствия
368610794,2008-09-26,Путяков Станислав Вадимович,Победа над тьмой
519071792,2022-05-13,Русских Александр Василиевич,Изменение судьбы
144036724,2022-11-28,Браилов Николай Иванович,Долгожданная встреча
136998087,2010-05-21,Джамбова Тамара Николаевна,Разрешение семейной тайны
573497223,2017-10-12,Бикмурдина Наталья Петровна,Победа над силами природы
8377616,2009-11-28,Шамшина Маргарита Кирилловна,Новый старт
490606707,2016-05-19,Пахошкина Елена Кирилловна,Признание своих способностей
586385092,2012-10-15,Ланкина Юлия Николаевна,Разрешение семейной тайны
923668520,2019-12-28,Алембекова Карина Николаевна,Победа над проклятием семьи
561402680,2015-10-17,Пащарина Алиса Михайловна,Победа в соревновании
356910294,2012-06-24,Бугаков Виталий Сергеевич,Признание правды
587285352,2011-11-23,Минникаев Станислав Юриевич,Победа над злом
444006423,2009-12-13,Бутлицкий Аркадий Михаилович,Успех в учебе
740352535,2007-09-26,Гиверенков Дмитрий Леонидович,Новая работа
100080857,2000-05-20,Вышенков Артур Романович,Богатство приходит
828377824,2008-12-13,Копчинский Степан Юриевич,Признание своей уникальности
330751081,2010-05-12,Атазарова Ирина Евгеньевна,Освобождение из плена
983010972,2010-12-15,Пименкова Елена Максимовна,Изменение характера
815652114,2008-06-18,Айдина Елизавета Валерьевна,Покорение тайного мира
720796001,2007-08-12,Янкулин Ярослав Яковлевич,Обретение душевного спокойствия
616946537,2009-07-21,Турнев Иван Павлович,Покорение невозможного
293260394,2015-12-12,Курбашов Федор Викторович,Победа над сомнениями
18932770,2004-10-16,Аничин Валентин Вадимович,Рождение ребенка
249343335,2016-08-28,Кардаев Денис Яковлевич,Новая работа
571651916,2023-06-28,Беденгов Николай Сергеевич,Разрешение загадки
357412378,2016-07-12,Казневская София Аркадьевна,Победа в соревновании
841192408,2006-12-13,Вощаникин Борис Виталиевич,Обретение вечной молодости
75307220,2012-06-25,Межинский Григорий Юрьевич,Покорение магического зверя
412328064,2011-07-11,Теумин Борис Михаилович,Раскрытие заговора
60238619,2000-12-27,Шутенков Артур Евгеньевич,Избавление от проклятия
255592917,2009-07-09,Бердинова Зинаида Андреевна,Удачное путешествие
622316916,2005-08-27,Севолкин Эдуард Максимович,Покорение невозможного
495185467,2014-07-21,Полетов Роман Фёдорович,Возвращение молодости
86235839,2005-07-18,Агапкин Роман Виталиевич,Обретение баланса сил
753548009,2017-08-23,Шекимов Максим Романович,Исцеление разбитого сердца
82310721,2000-12-08,Ялаков Олег Максимович,Помощь от незнакомца
544968765,2014-11-09,Куряев Борис Данилович,Любовь наступает
774489325,2000-12-24,Алесинская Тамара Сергеевна,Новый старт
415342478,2006-07-16,Торчилдина Тамара Олеговна,Возвращение утраченных воспоминаний
988893073,2011-06-27,Гогощапова Анастасия Борисовна,Разрешение загадки
884031389,2001-09-16,Воеводкин Дмитрий Иванович,Удачное путешествие
336796533,2016-08-12,Разинская Маргарита Егоровна,Покупка мечты
986850292,2022-07-17,Емин Илья Антонович,Приобретение магической силы
711439754,2014-07-28,Сафицина Тамара Федоровна,Обретение внутреннего покоя
187448932,2010-05-22,Саямов Виталий Вадимович,Изменение внешности
941887145,2013-09-12,Ивлюшова Вероника Олеговна,Новые возможности
876745993,2005-09-25,Слезинская Александра Олеговна,Воссоединение с любимым
280484150,2006-05-28,Левуткин Алексей Иванович,Покорение неприступной крепости
134361329,2003-10-12,Бутакова Алла Федоровна,Новая жизнь
886680376,2019-06-09,Стрибкова Александра Андреевна,Обретение мира
92231384,2022-05-09,Вараев Георгий Сергеевич,Спасение от опасности
60784007,2019-05-15,Фортов Юрий Аркадиевич,Здоровье улучшается
46112955,2008-06-18,Бочина Тамара Николаевна,Обретение душевного спокойствия
671026515,2006-12-14,Пананов Герасим Денисович,Покорение запретных земель
6310847,2021-06-28,Тибукова Елена Петровна,Возвращение домой
379221444,2000-07-20,Люзин Алексей Леонидович,Исцеление разбитого сердца
54401815,2005-09-24,Финоева Зинаида Ивановна,Покорение тайного мира
137882770,2010-06-09,Хуслиншина Клара Михайловна,Изменение судьбы нации
814664019,2021-11-24,Биюшкин Николай Аркадиевич,Долгожданная встреча
48408586,2000-09-10,Афонишева Александра Богдановна,Любовь наступает
876833237,2016-08-08,Церлевская Тамара Валерьевна,Удачное путешествие
861534912,2004-05-22,Ахтанин Павел Иванович,Обретение мира
528735221,2000-05-27,Чегеров Виталий Павлович,Разрешение загадки
97968132,2001-07-28,Чичерева Зинаида Кирилловна,Признание правды
599820200,2016-08-25,Свеклина Людмила Андреевна,Победа над смертью
643115310,2022-09-20,Алабердова Валентина Дмитриевна,Покорение невозможного
733738391,2023-05-09,Загниткин Иван Борисович,Здоровье улучшается
364167230,2007-07-28,Машилов Алексей Юрьевич,Победа над злом
678427360,2012-06-12,Казызаев Леонид Георгиевич,Победа над силами природы
620618045,2004-11-24,Хованов Георгий Валериевич,Обретение внутреннего покоя
567607821,2000-11-16,Мухометова Ксения Кирилловна,Новое начало
174479088,2016-10-28,Пестинов Геннадий Иванович,Покорение неприступной крепости
218770178,2021-06-17,Шеботин Степан Валериевич,Раскрытие заговора
460421703,2021-08-07,Шемкасова Анастасия Петровна,Покорение невозможного
738954612,2017-10-23,Кахаков Геннадий Алексеевич,error
193879261,2021-11-17,Криволанов Валерий Павлович,Избавление от проклятия
727211757,2002-11-24,Петрящева Алиса Ивановна,Изменение будущего мира
992350728,2003-09-28,Геркин Константин Фёдорович,Раскрытие заговора
866869934,2016-12-11,Стродымова Людмила Михайловна,Приобретение дружбы
684317176,2012-05-18,Савукин Семён Максимович,Возрождение таланта
375817447,2008-06-11,Грюканов Игорь Леонидович,Покорение страсти
6151590,2006-11-23,Дамсонова Александра Эдуардовна,Победа над собой
270302649,2006-11-28,Куцаков Алексей Иванович,Достижение цели
3841761,2016-05-24,Алюлина Ева Дмитриевна,Воссоединение семьи
64488237,2016-11-16,Марзаганов Тарас Леонидович,Покорение неприступной крепости
670766508,2002-05-21,Садуллина Елена Богдановна,Восстановление мира и гармонии
998590726,2004-05-07,Кадухин Евгений Викторович,Семейное счастье
248861956,2006-12-16,Трацевская Карина Ивановна,Разрешение загадки
744347478,2011-05-23,Почтина Маргарита Николаевна,Победа над проклятием семьи
558250989,2020-05-08,Траксин Виталий Иванович,Предсказание будущего
272037757,2014-12-13,Сорнев Михаил Юриевич,Покорение невозможного
749993781,2008-05-11,Косапова Ксения Игоревна,Здоровье улучшается
849721971,2005-10-10,Аюкина Жанна Богдановна,Обретение счастья
556132381,2003-12-12,Сталевский Виталий Василиевич,Обретение баланса сил
632310377,2015-05-26,Сочилкин Борис Алексеевич,Победа над силами природы
68883457,2019-10-24,Осинин Герасим Сергеевич,Долгожданная встреча
664873347,2000-12-21,Солотин Геннадий Юрьевич,Изменение хода истории
284863590,2022-10-27,Фиаткина Жанна Ивановна,Восстановление порядка в мире
68901443,2001-05-11,Гарькавцев Альберт Леонидович,Победа над силами природы
157374847,2003-10-18,Ретьев Евгений Андреевич,Покупка мечты
242073173,2016-08-18,Даминский Григорий Виталиевич,Семейное счастье
955643428,2020-05-28,Чупров Борис Яковлевич,Рождение ребенка
